size,k,ave_rate,ave_density,ave_clustering,ave_shortest_path,ave_std_rate,ave_median_rate,ave_incomp_nodes,ave_steps
6,5,0.7539999999999999,0.8000000000000002,0.6666666666666667,1.2,0.04298837052040937,0.0,1.4760000000000002,1420.1547999999998
7,5,0.9259999999999999,0.6666666666666667,0.5,1.3333333333333335,0.02383275057562595,0.0,0.518,1616.1900000000003
8,5,0.9755999999999999,0.5714285714285714,0.5,1.4285714285714286,0.012986146464598352,0.0,0.19520000000000004,1820.1188
9,5,0.9752000000000001,0.5,0.5,1.5,0.01203993355463394,0.0,0.22320000000000004,2178.4292
10,5,0.9827999999999999,0.4444444444444444,0.5,1.6666666666666665,0.012812493902437586,0.0,0.172,921.99
11,5,0.9864,0.4000000000000001,0.5,1.8,0.014108153670838732,0.0,0.1496,1292.9492
12,5,0.9876,0.3636363636363636,0.5,1.9090909090909092,0.00813879597975033,0.0,0.1488,1051.7684
13,5,0.9928,0.33333333333333337,0.5,2.0,0.007756287771866133,0.0,0.09359999999999999,1079.5151999999998
14,5,0.9972,0.3076923076923077,0.5,2.1538461538461537,0.004489988864128734,0.0,0.039200000000000006,713.4859999999999
15,5,0.9972,0.2857142857142857,0.5,2.2857142857142856,0.004489988864128734,0.0,0.041999999999999996,751.9055999999999
16,5,0.9996,0.26666666666666666,0.5,2.4,0.0019595917942265445,0.0,0.0064,549.0056
17,5,0.9964,0.25,0.5,2.5,0.005571355310873652,0.0,0.061200000000000004,739.1367999999999
18,5,0.9984000000000001,0.2352941176470588,0.5,2.6470588235294117,0.0036660605559646754,0.0,0.0288,426.4884
19,5,0.9987999999999999,0.2222222222222222,0.5,2.7777777777777772,0.0032496153618543876,0.0,0.0228,503.3516
20,5,1.0,0.21052631578947367,0.5,2.894736842105263,0.0,0.0,0.0,342.9728
21,5,0.9996,0.20000000000000004,0.5,3.0,0.0019595917942265445,0.0,0.0084,379.28479999999996
22,5,0.9996,0.19047619047619047,0.5,3.142857142857143,0.0019595917942265445,0.0,0.0088,301.70599999999996
23,5,1.0,0.1818181818181818,0.5,3.2727272727272725,0.0,0.0,0.0,394.2
24,5,0.9996,0.17391304347826086,0.5,3.3913043478260874,0.0019595917942265445,0.0,0.0096,288.5412
25,5,1.0,0.16666666666666669,0.5,3.5,0.0,0.0,0.0,323.39799999999997
26,5,1.0,0.16,0.5,3.64,0.0,0.0,0.0,244.53760000000003
27,5,0.9996,0.15384615384615385,0.5,3.769230769230769,0.0019595917942265445,0.0,0.0108,284.94319999999993
28,5,1.0,0.14814814814814814,0.5,3.8888888888888884,0.0,0.0,0.0,256.28880000000004
29,5,0.9996,0.14285714285714285,0.5,4.0,0.0019595917942265445,0.0,0.0116,240.56400000000002
30,5,1.0,0.13793103448275862,0.5,4.137931034482759,0.0,0.0,0.0,259.19120000000004
31,5,0.9996,0.13333333333333333,0.5,4.266666666666667,0.0019595917942265445,0.0,0.0124,229.32080000000002
32,5,1.0,0.12903225806451613,0.5,4.387096774193548,0.0,0.0,0.0,210.59199999999998
33,5,1.0,0.125,0.5,4.5,0.0,0.0,0.0,256.504
34,5,1.0,0.12121212121212122,0.5,4.636363636363637,0.0,0.0,0.0,224.38879999999997
35,5,0.9996,0.1176470588235294,0.5,4.764705882352941,0.0019595917942265445,0.0,0.014000000000000002,264.112
36,5,0.9996,0.11428571428571428,0.5,4.885714285714286,0.0019595917942265445,0.0,0.0144,248.8296
37,5,1.0,0.1111111111111111,0.5,5.0,0.0,0.0,0.0,252.28239999999997
38,5,1.0,0.1081081081081081,0.5,5.135135135135135,0.0,0.0,0.0,241.8484
39,5,1.0,0.10526315789473684,0.5,5.2631578947368425,0.0,0.0,0.0,247.40600000000003
40,5,1.0,0.10256410256410257,0.5,5.384615384615384,0.0,0.0,0.0,261.7132
41,5,0.9996,0.10000000000000002,0.5,5.5,0.0019595917942265445,0.0,0.0164,266.8732
42,5,1.0,0.09756097560975611,0.5,5.634146341463414,0.0,0.0,0.0,268.6224
43,5,1.0,0.09523809523809523,0.5,5.761904761904762,0.0,0.0,0.0,273.89160000000004
44,5,0.9996,0.09302325581395349,0.5,5.883720930232559,0.0019595917942265445,0.0,0.0176,287.4404
45,5,1.0,0.0909090909090909,0.5,6.0,0.0,0.0,0.0,287.11280000000005
46,5,1.0,0.08888888888888889,0.5,6.133333333333334,0.0,0.0,0.0,300.01880000000006
47,5,1.0,0.08695652173913043,0.5,6.2608695652173925,0.0,0.0,0.0,319.122
48,5,1.0,0.0851063829787234,0.5,6.382978723404254,0.0,0.0,0.0,323.67400000000004
49,5,1.0,0.08333333333333334,0.5,6.5,0.0,0.0,0.0,324.6496
50,5,1.0,0.0816326530612245,0.5,6.632653061224491,0.0,0.0,0.0,332.426
